Section,Original Text/Value,Updated Text/Value,Reason,Reviewer Issue,Source,Status
3.2.3 OCEAN-Chat Dataset,Dataset Source : https://huggingface.co/datasets?search=OCEAN-Chat,"Dataset Source: OCEAN-Chat dataset, Hugging Face Datasets. [UNVERIFIED - the link cited in the previous version was a Hugging Face search query rather than a dataset page; the exact dataset identifier, version, and permanent URL must be confirmed by the authors before submission.]","Cited source was a search URL, not a dataset; cannot be invented, flagged for author action",R10 Citation - OCEAN-Chat source link,Critical review.docx,REQUIRES HUMAN ACTION
3.2.5 Psychoeducational Knowledge Sources,"(text appended to existing paragraph) The collected documents provide information related to mental health, emotional ","The documents are indexed at two granularities over identical text. The coarse index contains the original chunks; the fine index re-chunks the same documents into passages of approximately 500 characters with 80-character overlap at sentence boundaries. Re-chunking was necessary because the original chunks were far longer than the roughly 256-token window of the all-MiniLM-L6-v2 encoder, so retrieval effectively ranked each chunk on its opening portion. All configurations reported in Section 4 retrieve from the fine index, and the coarse index is retained so that chunk granularity can be compared on the same documents. The corpus remains small for psychoeducational retrieval, which is stated as a limitation in Section 4.16. [UNVERIFIED: the chunk counts quoted in Table 2 and Table 6 refer to the coarse index; the exact coarse and fine counts must be taken from the pipeline's chunk-granularity statistics output before submission.]",Reviewer noted the knowledge base is very small; the re-chunking procedure and the encoder-window problem are now described and the scale is acknowledged,R14 Dataset - knowledge base size,PsyAdapt_Reviewer_Revision.ipynb,PARTIALLY RESOLVED
3.3 Data Preparation and Preprocessing,"For emotion, personality, and support-strategy classification, the text inputs are converted into tokenized representations compatible with the corresponding transformer-based models. The classifiers are trained using the labels available in their respective datasets.","For emotion classification the text inputs are converted into tokenized representations compatible with the corresponding transformer-based model, while personality and support-strategy classification use TF-IDF features. For support-strategy classification only the dialogue history that precedes the supporter turn is used, so that no part of the target supporter response is visible either during training or at inference time. The classifiers are trained using the labels available in their respective datasets, and hyper-parameters are selected on the validation split only.",Strategy classifier corrected to the deployed context-only TF-IDF model and label leakage prevention stated,R09 Methodological - unspecified classifiers; leakage,PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
3.4 Dynamic User Representation,"In the current single-turn evaluation setting, the user representation is constructed from the available input and predicted signals. The evaluation does not independently establish the effectiveness of persistent long-term user memory. The components of the dynamic user representation are summarized in Table 4. Figure 2 shows the Dynamic user representation and personalization signals in the proposed PsyAdapt framework.","In the single-turn evaluation setting the user representation is constructed from the current input and the predicted signals only. The conversation-memory element of the representation has nothing to store in a single-turn item, so the single-turn ablation cannot test it and is reported only as a control. Memory is instead evaluated in a separate paired experiment on multi-turn conversations (Section 4.11). The components of the dynamic user representation are summarized in Table 4. Figure 2 shows the dynamic user representation and personalization signals in the proposed PsyAdapt framework.","Memory retained in the framework but its evaluation moved to the multi-turn experiment, as the reviewer required",R13 Methodological - memory cannot be tested single-turn,"tables/memory_experiment.csv, PsyAdapt_Reviewer_Revision.ipynb",RESOLVED
3.6.3 Need and Context Detection,The need/context detection component identifies the user's expressed concern and the type of support that may be relevant. It considers the content of the message to help determine what the user is asking for or describing.,"The need/context detection component identifies the user's expressed concern and the type of support that may be relevant. It is a deterministic rule-based module rather than a trained model, so it has no training data and no learned parameters. The normalized user message is scored against curated keyword lexicons, and the module returns a structured record with the fields primary topic, current need, urgency level, estimated knowledge level, and response preferences. When no lexicon entry matches, the current need defaults to information seeking if the message contains a question mark and to emotional support otherwise. Because the module is rule-based and has not been evaluated against labelled need annotations, its outputs are treated as coarse heuristics rather than validated labels.","Reviewer required a specification of the need/context module (model, data, output format)",R11 Methodological - need/context detection unspecified,PsyAdapt_Reviewer_Revision.ipynb,PARTIALLY RESOLVED
3.7 Adaptive Support-Strategy Selection,The adaptive support-strategy module selects a response strategy based on the dynamic user representation. PsyAdapt uses a DistilBERT-based strategy classifier trained using ESConv.,"The adaptive support-strategy module selects a response strategy based on the dynamic user representation. PsyAdapt uses a support-strategy classifier trained on ESConv. The deployed classifier uses TF-IDF features over the dialogue history that precedes the supporter turn, with a logistic-regression head whose regularization strength is selected on the validation split; it reaches 0.61 accuracy and 0.53 macro-F1 on the held-out test split (Table 11), so its prediction is used as soft guidance only. An earlier version of this classifier also received the supporter response as part of its input. Since the supporter response is exactly the text whose strategy is being predicted, that version leaked the label; its higher apparent accuracy is reported in Table 11 for diagnostic purposes only and is not used in any configuration or result reported in this paper.","Deployed classifier corrected (context-only TF-IDF logistic regression, not DistilBERT), accuracy reported, and label leakage of the legacy variant disclosed",R09 Methodological - unvalidated strategy classifier,"tables/component_classifiers.csv, PsyAdapt_Reviewer_Revision.ipynb",RESOLVED
3.7 Adaptive Support-Strategy Selection,(text appended to existing paragraph) The selected strategy is used as guidance for the LLM rather than as the final r,"Two strategy sources are distinguished in the experiments. The classifier-guided configuration inserts the strategy predicted by this classifier into the prompt, whereas the full configuration replaces that prediction with an adaptive scorer that combines the predicted emotion, the estimated emotional intensity, the detected urgency level, the current need, and the topic. The configuration without strategy guidance omits the strategy block from the prompt entirely. This is the only difference between those three configurations.","Reviewer noted the difference between A2, A6 and A7 was never stated",R22 Consistency - A2 vs A6 difference,PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
3.9.2 Safety and Quality Verification,(new content inserted),"Verification combines three implemented mechanisms. A safety system prompt constrains generation: it forbids diagnosis, claims of being a therapist, doctor or human, recommendations to start, stop or change medication, invented personal experience, and disclosure of internal scores or prompts, and it requires that signs of immediate danger be met with an explicit safety-oriented response. A rule-b","The verification stage was described in one paragraph with no mechanism; the implemented safety prompt, input screen and output screen are now specified",R07 Safety - verification stage never described; R12 defect detector undefined,PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
3.10 (new subsection),(new content inserted),"3.10 Safety Handling, Ethical Considerations, and Intended Use | Because PsyAdapt operates in a mental-health-adjacent setting, the safety mechanisms it implements and the limits of those mechanisms are stated explicitly. Crisis-relevant content is handled at three points in the pipeline. Before generation, the user message is screened by a deterministic keyword screen that assigns one of three re",Reviewer required an ethics statement and a description of crisis-content detection and handling,R07 Ethics / crisis handling; R34 required action,PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
3. Proposed Methodology (equation nomenclature),"Let the user input be represented as . The detected emotional state, personality profile, and contextual need are represented as , , and , respectively.","Let the user input be represented as X. The detected emotional state, personality profile, and contextual need are represented as E, P, and N, respectively.",Inline equation symbols were lost when the manuscript was converted; the variables are now also written as plain text,R23 Writing - missing equation variables,Critical review.docx,RESOLVED
3. Proposed Methodology (equation nomenclature),represents the predicted emotional state.,E represents the predicted emotional state.,Inline equation symbols were lost when the manuscript was converted; the variables are now also written as plain text,R23 Writing - missing equation variables,Critical review.docx,RESOLVED
3. Proposed Methodology (equation nomenclature), represents the estimated personality characteristics.,P represents the estimated personality characteristics.,Inline equation symbols were lost when the manuscript was converted; the variables are now also written as plain text,R23 Writing - missing equation variables,Critical review.docx,RESOLVED
3. Proposed Methodology (equation nomenclature), represents the detected need and contextual information.,N represents the detected need and contextual information.,Inline equation symbols were lost when the manuscript was converted; the variables are now also written as plain text,R23 Writing - missing equation variables,Critical review.docx,RESOLVED
3. Proposed Methodology (equation nomenclature),where represents the emotion classifier and denotes the predicted emotion category.,where f_emotion represents the emotion classifier and E denotes the predicted emotion category.,Inline equation symbols were lost when the manuscript was converted; the variables are now also written as plain text,R23 Writing - missing equation variables,Critical review.docx,RESOLVED
3. Proposed Methodology (equation nomenclature),where represents the estimated personality profile.,"where P represents the estimated personality profile, produced by the classifier f_personality.",Inline equation symbols were lost when the manuscript was converted; the variables are now also written as plain text,R23 Writing - missing equation variables,Critical review.docx,RESOLVED
3. Proposed Methodology (equation nomenclature),where represents the detected need and contextual information.,"where N represents the detected need and contextual information, produced by the rule-based module f_need.",Inline equation symbols were lost when the manuscript was converted; the variables are now also written as plain text,R23 Writing - missing equation variables,Critical review.docx,RESOLVED
3. Proposed Methodology (equation nomenclature),where denotes the selected support strategy and represents the dynamic user model.,where S denotes the selected support strategy and U represents the dynamic user model.,Inline equation symbols were lost when the manuscript was converted; the variables are now also written as plain text,R23 Writing - missing equation variables,Critical review.docx,RESOLVED
3. Proposed Methodology (equation nomenclature),where denotes the retrieved information.,where R denotes the retrieved information returned by the retrieval function f_retrieval.,Inline equation symbols were lost when the manuscript was converted; the variables are now also written as plain text,R23 Writing - missing equation variables,Critical review.docx,RESOLVED
3. Proposed Methodology (equation nomenclature),"Here represents the user input, represents the dynamic user representation, represents the selected support strategy, represents the retrieved knowledge and represents the generated response. The model is guided to generate a response that addresses the user's concern, follows the selected support strategy, and uses relevant retrieved information where applicable. The same underlying LLM is used across the experimental configurations so that comparisons focus on the contribution of the personalization and retrieval components rather than differences between language models.","Here X represents the user input, U represents the dynamic user representation, S represents the selected support strategy, R represents the retrieved knowledge, and Y represents the generated response. The model is guided to generate a response that addresses the user's concern, follows the selected support strategy, and uses relevant retrieved information where applicable. The same underlying LLM is used across the experimental configurations so that comparisons focus on the contribution of the personalization and retrieval components rather than differences between language models.",Inline equation symbols were lost when the manuscript was converted; the variables are now also written as plain text,R23 Writing - missing equation variables,Critical review.docx,RESOLVED
3. Proposed Methodology (equation nomenclature),where represents the response after verification. Automated verification does not guarantee that every response is factually correct or clinically appropriate. PsyAdapt is designed for psychoeducational support and is not intended to replace professional care.,where Y* represents the response after verification. Automated verification does not guarantee that every response is factually correct or clinically appropriate. PsyAdapt is designed for psychoeducational support and is not intended to replace professional care.,Inline equation symbols were lost when the manuscript was converted; the variables are now also written as plain text,R23 Writing - missing equation variables,Critical review.docx,RESOLVED
4.1 Experimental Setup,(text appended to existing paragraph) The PsyAdapt was implemented based on transformer models and machine learning cl,"Retrieval uses the fine-grained index described in Section 3.2.5, and the component-injection thresholds were selected on the MentalChat16K validation split as described in Section 3.2.1.",Records the revised retrieval granularity and threshold selection actually used,"R14, R20",PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
4.1 Experimental Setup,(new content inserted),"Because a single evaluation run yields point estimates only, every configuration contrast is accompanied by a paired analysis over the same 300 benchmark items: a two-sided Wilcoxon signed-rank test on per-item differences, a 95% bootstrap confidence interval computed with 5,000 resamples, Cohen's d_z, and Holm correction across the contrasts of a metric. Contrasts whose two configurations produce",Reviewer required bootstrap confidence intervals and paired significance testing,R02 Statistical; R32 required action,"tables/statistical_contrasts_bertscore.csv, PsyAdapt_Reviewer_Revision.ipynb",RESOLVED
Table 6,Personality detection model / col1: SVM classifier,TF-IDF + linear SVM classifier,Model description corrected to the implemented component,R09,tables/component_classifiers.csv,RESOLVED
Table 6,Support-strategy model / col1: DistilBERT-based classifier,Context-only TF-IDF + logistic-regression classifier (validation-selected),Deployed leakage-free classifier replaces the DistilBERT description,R09,"tables/component_classifiers.csv, PsyAdapt_Reviewer_Revision.ipynb",RESOLVED
Table 6,Knowledge base size / col1: 81 indexed text chunks,"81 coarse chunks, re-chunked into ~500-character fine passages (80-character overlap) for retrieval [UNVERIFIED chunk counts]",Records the re-chunking actually used; count flagged as unverified,R14,PsyAdapt_Reviewer_Revision.ipynb,PARTIALLY RESOLVED
Table 6,Ablation configurations / col1: A3: Without emotion; A4: Without personality; A5: Without memory; A6: Without strategy guidance,A3: Without emotion; A4: Without personality; A5: Without memory (single-turn control); A6: Without strategy guidance,A5 relabelled as a control because memory cannot be tested single-turn,R13,PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
Table 6,(new table row),Component-injection thresholds | Validation-split confidence quantiles targeting a 0.60 injection rate,Threshold procedure documented,R20,PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
Table 6,(new table row),"Statistical analysis | Paired Wilcoxon signed-rank tests, 5,000-resample bootstrap CIs, Cohen's d_z, Holm correction",Statistical protocol added,R02,tables/statistical_contrasts_bertscore.csv,RESOLVED
Table 6,(new table row),Multi-turn memory experiment | 40 ESConv test conversations; reply to the 4th user turn with vs. without memory,Separate memory experiment documented,R13,tables/memory_experiment.csv,RESOLVED
Table 6,(new table row),Comparative LLM evaluation | Generator swap inside the identical pipeline (bare and full-context arms),Comparison design documented,"R04, R05",tables/sota_designA.csv,RESOLVED
Table 6,(new table row),Human evaluation | Blinded pairwise protocol exported; annotation pending (no human results reported),Human-evaluation status stated rather than implied,"R07, R34",PsyAdapt_Reviewer_Revision.ipynb,REQUIRES HUMAN ACTION
4.2 Evaluation Metrics,"where and denote contextual embeddings of tokens in the generated and reference responses, respectively. A higher BERTScore-F1 indicates greater semantic similarity.","where x_i and y_j denote contextual embeddings of tokens in the generated and reference responses, respectively. A higher BERTScore-F1 indicates greater semantic similarity to the reference. BERTScore-F1 is computed against the single MentalChat16K reference response, which is one of many acceptable replies, so it measures similarity to that reference and not factual correctness, helpfulness, or safety; it is also sensitive to response length (Section 4.12).",Symbols restored and the scope of the metric stated,R12 Metric definitions; R23,Critical review.docx,RESOLVED
4.2 Evaluation Metrics,where and represent the generated and reference responses. A higher ROUGE-L F1 indicates greater sequence overlap.,"where X and Y represent the generated and reference responses. A higher ROUGE-L F1 indicates greater sequence overlap. Across all configurations ROUGE-L F1 remains below 0.11, so lexical overlap with the single reference reply is low in absolute terms and this metric discriminates weakly between configurations; it is reported for completeness rather than as a decisive criterion.",Reviewer noted ROUGE-L of about 0.10 discriminates nothing; limitation now stated,R17 Evaluation - weak metric,tables/ablation_study.csv,RESOLVED
4.2 Evaluation Metrics,"where and represent the embedding vectors of the user input and generated response, respectively. A higher value indicates greater estimated semantic relevance.","where u and r represent the embedding vectors of the user input and generated response, respectively. A higher value indicates greater estimated semantic relevance. Input relevance is a topical proxy computed with the same sentence-embedding model used for retrieval: a high value indicates that the response is on the topic of the user message, not that it is appropriate, supportive, or correct.",Symbols restored and proxy nature stated,"R12, R23",PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
4.2 Evaluation Metrics,"where is the number of generated response sentences, is the embedding of the -th response sentence, and is the embedding of a retrieved knowledge passage. The indicator function returns 1 when the maximum cosine similarity reaches the threshold of 0.50, and 0 otherwise. A higher value indicates greater estimated semantic support from retrieved passages.","where N is the number of generated response sentences, s_i is the embedding of the i-th response sentence, and k_j is the embedding of a retrieved knowledge passage. The indicator function I returns 1 when the maximum cosine similarity reaches the threshold of 0.50, and 0 otherwise. Grounding support is an embedding-similarity proxy computed only against the passages that a configuration actually received. It is undefined for configurations that perform no retrieval, and such cells are left blank rather than being assigned a value. A response that paraphrases retrieved text closely scores highly whether or not that text answers the user, so the metric measures textual support from retrieved passages and not factual verification; it is also the most length-dependent of the metrics used here (Section 4.12).",Circularity and undefined-for-no-retrieval property stated; symbols restored,R16 Evaluation - circular metric; R04 grounding for bare models,PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
4.2 Evaluation Metrics,where represents the number of identified defects in the -th response and is the total number of evaluated responses. A lower value indicates fewer identified defects under the implemented defect-detection procedure.,"where D_i represents the number of identified defects in the i-th response and M is the total number of evaluated responses. A defect is a concrete, individually checkable fault in a generated response, and two implemented procedures produce the count. A rule-based screen flags diagnostic language, medication directives, claims of being a clinician or a human, fabricated self-disclosure, leakage of internal labels, and missing crisis referral on inputs that the input screen flagged. A structured annotation protocol then presents the user message and the response to a separate, larger instruction-tuned model (Qwen2.5-7B-Instruct, distinct from the 3B generator) and requires it to list defects with a supporting quotation from the response, restricted to the categories generic advice, unsupported claim, ignored user detail, overclaimed certainty, missing actionable step, and inappropriate boundary. Defects per response is the mean number of recorded items per evaluated response, and the composition for the full configuration is reported in Table 16. A lower value indicates fewer detected faults of these specific kinds under an automated procedure; it is not a validated clinical safety measure.",Reviewer noted the defect detector was never defined although defects is a core metric,R12 Evaluation - defect detector undefined; R35 required action,PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
4.2 Evaluation Metrics,where represents the generation time for the -th response and is the total number of evaluated responses. Lower latency indicates faster response generation.,"where T_i represents the generation time for the i-th response and M is the total number of evaluated responses. Lower latency indicates faster response generation. Latency was measured at batch size 1 in the single GPU session used for the experiments, so it is hardware-specific and is not a deployment estimate.",Symbols restored and measurement condition stated,R23,PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
Table 7,BERTScore-F1 / col1: 0.632,0.634,Outdated value replaced with the verified updated result,R07 outdated metrics,tables/overall_A7.csv,RESOLVED
Table 7,ROUGE-L F1 / col1: 0.105,0.106,Outdated value replaced with the verified updated result,R07 outdated metrics,tables/overall_A7.csv,RESOLVED
Table 7,Input Relevance / col1: 0.607,0.609,Outdated value replaced with the verified updated result,R07 outdated metrics,tables/overall_A7.csv,RESOLVED
Table 7,Grounding Support / col1: 0.631,0.622,Outdated value replaced with the verified updated result,R07 outdated metrics,tables/overall_A7.csv,RESOLVED
Table 7,Defects per Response / col1: 0.787,0.69,Outdated value replaced with the verified updated result,R07 outdated metrics,tables/overall_A7.csv,RESOLVED
Table 7,Latency (s) / col1: 2.395,2.3,Outdated value replaced with the verified updated result,R07 outdated metrics,tables/overall_A7.csv,RESOLVED
Table 7,(new table row),Mean-max grounding similarity | 0.41,Added so that the grounding indicator can be interpreted against the underlying similarity level,R16 Evaluation - circular metric,tables/overall_A7.csv,RESOLVED
Table 7,Grounding Support / col0: Grounding Support,Grounding Support (τ = 0.50),Threshold made explicit in the metric name,R16,tables/overall_A7.csv,RESOLVED
4.3 Overall Performance,"As a result, the proposed framework of PsyAdapt obtained the BERTScore-F1 value of 0.632 and ROUGE-L F1 of 0.105, which can be interpreted as the measurement of semantic similarity and lexical overlap between generated and reference responses. At the same time, the input relevance score value equals to 0.607, showing the estimation of semantic relevance of generated responses to user inputs. Moreover, the grounding-support score value equals to 0.631, which is the estimation of semantic support from retrieved knowledge passages. The number of defects per response according to the implemented defect-detection algorithm is 0.787, while the average generation latency equals to 2.395 seconds. Figure 4 shows the  Overall performance of the proposed PsyAdapt framework (A7) across semantic similarity, lexical overlap, input relevance, grounding support, response defects, and generation latency.","The full configuration obtained a BERTScore-F1 of 0.634 and a ROUGE-L F1 of 0.106 against the MentalChat16K reference responses. Input relevance is 0.609, and grounding support, the share of response sentences whose maximum cosine similarity to a retrieved passage reaches 0.50, is 0.622; the mean maximum similarity underlying that indicator is 0.41, which shows that supported sentences sit near the threshold rather than reproducing retrieved text. The defect-detection procedure records 0.69 defects per response, and mean generation latency at batch size 1 is 2.3 seconds. All of these quantities are automatic proxies measured against a single reference reply and a small retrieval corpus: they describe similarity, topicality, and detectable faults, and they do not establish factual correctness, empathy, or clinical appropriateness. Figure 4 summarizes these values.",All five values updated; interpretation restricted to what the metrics measure,"R07, R16, R17",tables/overall_A7.csv,RESOLVED
Table 8,A0 – Generic LLM / col1: 0.575,0.589,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A0 – Generic LLM / col2: 0.072,0.081,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A0 – Generic LLM / col3: 0.544,0.553,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A0 – Generic LLM / col4: N/A,– (no retrieval),Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A0 – Generic LLM / col5: 1.813,1.41,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A0 – Generic LLM / col6: 0.797,0.81,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A1 – LLM + Standard RAG / col1: 0.607,0.613,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A1 – LLM + Standard RAG / col2: 0.088,0.095,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A1 – LLM + Standard RAG / col3: 0.583,0.581,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A1 – LLM + Standard RAG / col4: 0.498,0.482,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A1 – LLM + Standard RAG / col5: 1.080,0.98,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A1 – LLM + Standard RAG / col6: 1.518,1.44,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A2 – RAG + User Profile + Classifier Strategy / col1: 0.631,0.629,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A2 – RAG + User Profile + Classifier Strategy / col2: 0.103,0.104,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A2 – RAG + User Profile + Classifier Strategy / col3: 0.604,0.603,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A2 – RAG + User Profile + Classifier Strategy / col4: 0.630,0.615,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A2 – RAG + User Profile + Classifier Strategy / col5: 0.789,0.74,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A2 – RAG + User Profile + Classifier Strategy / col6: 2.296,2.21,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A7 – Full PsyAdapt / col1: 0.632,0.634,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
